#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
<b>Mmm6 phone call patient pain</b> — for each <i>Question</i>, give the corresponding <i>Purpose</i>.	<ul><li><b>Pain severity (1–10 scale)</b> → Determine urgency</li><li><b>Fever present?</b> → Systemic involvement red flag</li><li><b>Foul taste in mouth?</b> → Abscess indicator</li><li><b>Swelling in the neck?</b> → Spreading infection</li><li><b>Difficulty breathing or swallowing?</b> → Airway compromise — true emergency</li></ul>	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
<b>Mmm6 phone call patient pain</b> — for each <i>Scenario</i>, give the corresponding <i>Action</i>.	<ul><li><b>Mild pain, no red flags</b> → OTC analgesic + schedule clinic visit next day</li><li><b>Moderate pain, known cavity</b> → Schedule earliest appointment + OTC analgesic bridge</li><li><b>Severe pain / red flags (fever, swelling, difficulty breathing)</b> → Refer immediately to nearest dentist for emergency care</li><li><b>Patient wants remote diagnosis</b> → Use RCDSO-approved encrypted platform only — but patient still needs in-person visit</li></ul>	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
<b>Mmm6 phone call patient pain</b> — give the one-line / quick recall summary.	Empathize → Explain phone limitations → Brief triage history → Guide to appropriate care (nearby ER dentist or your clinic based on severity) → OTC interim analgesia if needed → Document everything	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>Mmm6 cra erosion kid</b>	<b>Setting:</b> A child presents with a grandparent for clinical examination. <b>Clinical Findings Given:</b> - Generalized enamel erosion - Multiple dental carious lesions  <b>Task:</b> Perform a caries risk assessment (CRA) and discuss preventive recommendations with the grandparent.	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — would the following be appropriate, or a critical error?<br><br><i>“Assuming child's age without asking — Cannot tailor any recommendation correctly”</i>	<b>Critical error / Avoid this.</b><br><br>Assuming child's age without asking — Cannot tailor any recommendation correctly	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — would the following be appropriate, or a critical error?<br><br><i>“Switching pronouns after one is established — Inconsistency = critical flag”</i>	<b>Critical error / Avoid this.</b><br><br>Switching pronouns after one is established — Inconsistency = critical flag	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — would the following be appropriate, or a critical error?<br><br><i>“Stopping gummies entirely — No contraindication; just switch to tablet form”</i>	<b>Critical error / Avoid this.</b><br><br>Stopping gummies entirely — No contraindication; just switch to tablet form	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — list the key points for: <i>Critical Flag: Age of the Child</i>	<ul><li><b>Always begin by asking:</b> <i>"Could you please remind me of the child's name, gender, and age?"</i></li><li>A smart, natural phrasing: <i>"Could you please remind me of the child's age again?"</i> (sounds like a chart confirmation)</li><li>The simulator in this station reveals: <b>the child's birthday is this Sunday — she is turning 7 years old; currently ~6 years, 11 months</b></li><li>Once a preferred pronoun (e.g., <i>she/her</i>) is given, <b>use it consistently</b> for the rest of the station — switching pronouns is a critical error</li></ul>	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — list the key points for: <i>M1 — Medical History</i>	<ul><li>Ask: <i>"Does your grandchild have any medical conditions?"</i></li><li><b>Station answer:</b> No known medical history</li></ul>	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — list the key points for: <i>M2 — Medications</i>	<ul><li>Ask: <i>"Is your grandchild taking any medications?"</i></li><li><b>Station answer:</b> Yes — multivitamin <b>gummies</b></li><li><b>Always ask the form</b> (tablet vs. gummy) — gummy vitamins are sticky, cariogenic, lodge in pits and fissures; they are a significant caries risk factor</li><li>Note: switching to <b>tablet form</b> is a targeted preventive recommendation</li></ul>	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — list the key points for: <i>P1 — Practices</i>	<ul><li>Explain: <i>regular, consistent dental visits actually save money long-term</i> through early detection and intervention, rather than costly bulk treatment later</li><li>Address the financial barrier directly and compassionately</li><li>Link to clinical finding: <i>"I found evidence of enamel erosion on your grandchild's teeth, which is consistent with regular soda consumption"</i></li><li>Replace with <b>water</b> between meals; <b>milk</b> only with meals (breakfast, lunch, dinner)</li><li>Child is not yet capable of independent brushing (cannot tie shoelaces = insufficient dexterity)</li><li>Grandparent should <b>assist or at minimum supervise</b> brushing and flossing</li><li>Flossing may require <b>parental/caregiver assistance up to age 10</b></li></ul>	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — list the key points for: <i>P2 — Products (Financially Sensitive)</i>	<ul><li>Family is using "natural/chemical-free" toothpaste — likely <b>non-fluoridated</b></li><li>Recommend switching to <b>OTC fluoridated toothpaste</b> — check label for fluoride content</li><li>For a child ≥6 years: up to <b>1,000–1,500 ppm fluoride</b> is appropriate</li><li><b>Pea-sized amount</b> (not smear — smear is for children under 3 years)</li><li>Clinically appropriate for high caries risk — but <b>very expensive (~$45–50 vs. $4–5 for OTC)</b></li><li>Do <b>not</b> prescribe outright to a financially limited family</li><li>Recommended approach: <i>"Let's start with OTC fluoridated toothpaste. If needed, I can write a prescription for a stronger toothpaste down the road"</i></li></ul>	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — give details for Detail: <i>Brushing frequency</i>	<b>Station Answer:</b> 2× daily<br><b>Flag:</b> Acceptable	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — for each <i>Detail</i>, give the corresponding <i>Station Answer</i>.	<ul><li><b>Snacking frequency</b> → 1–2× daily</li><li><b>Snack type</b> → <b>Chips</b></li><li><b>Snack duration</b> → ~15–20 minutes</li></ul>	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
<b>Mmm6 cra erosion kid</b> — give the one-line / quick recall summary.	<b>Age:</b> ~6 years 11 months (turning 7 Sunday) | <b>Gender:</b> Female (she/her)	NDECC_SJ::Mmm6_cra_erosion_kid NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>Mmm6 tx plan phase</b>	A 46‑year‑old patient presents with pain in the lower right posterior region (46) due to infected root stumps, with multiple carious and broken‑down teeth, several missing teeth, and significant financial limitations. OPG is available but further periapicals/bitewings are required for definitive diagnosis and restorability assessment.  (You can say this in 1 short paragraph if the station requires a “brief summary”.)	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
<b>Mmm6 tx plan phase</b> — list the step-by-step approach / framework (in order).	<ol><li>Phase 0 – Emergency / pain management and finances</li><li>Phase 1 – Disease control</li><li>Phase 2 – Rehabilitation / prosthetic rehabilitation</li><li>Phase 3 – Maintenance and recall</li></ol>	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
<b>Mmm6 tx plan phase</b> — list the key points for: <i>Phase 0 – Emergency and financial planning</i>	<ul><li>Extract the infected, symptomatic root stumps at 46 (4‑6) as an emergency procedure.</li><li>Mention you will not delay this even if the patient cannot pay immediately; pain relief is obligatory emergency care.</li><li>Take necessary radiographs for diagnosis and treatment planning</li><li>Bitewings for caries extent and bone levels in posterior segments.</li><li>Periapicals for teeth with suspected periapical pathology, previous endodontics, or where restorability is uncertain.</li><li>Explain the full phased treatment plan and then immediately discuss financial alternatives, because she has “very limited finances”.</li><li>Options to mention</li></ul>	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
<b>Mmm6 tx plan phase</b> — list the key points for: <i>Phase 1 – Disease control</i>	<ul><li>Teeth broken down to or near gingival level, with poor crown–root ratio or poor restorability on OPG and clinical exam. (In your notes you might list: e.g., 26, 27, 37, etc., but in a generic station, you can say “extrac…</li><li>Write: “Extract unrestorable teeth with hopeless prognosis (e.g., 26, 27 – correlate clinically and radiographically).”</li><li>Restore all restorable carious lesions identified on the OPG and confirmed with bitewings</li><li>Primary caries: e.g., 16, 15, 14, 35, 34, 33, etc. – write generically as “restoration of all cavitated carious lesions using suitable restorative materials.”</li><li>Recurrent caries around existing restorations and previous endodontically treated teeth: e.g., 12, 21 – “re‑evaluate and replace defective restorations with recurrent caries.”</li><li>For each area you can add: “Bitewing radiographs recommended to assess depth and proximity to pulp.”</li><li>For teeth with</li></ul>	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
<b>Mmm6 tx plan phase</b> — list the key points for: <i>Phase 2 – Rehabilitation / prosthetic rehabilitation</i>	<ul><li>Start Phase 2 only when</li><li>Caries and active periodontal disease are controlled.</li><li>Perio re‑eval is satisfactory.</li><li>If there is significant space loss or tipping of adjacent teeth around missing tooth spaces, consider limited orthodontic treatment or space regaining before prosthetic replacement.</li><li>Add: “If financially and practically acceptable to the patient; may be omitted if patient prefers a compromised but functional solution.”</li><li>For structurally sound endodontically treated teeth</li><li>Core build‑up and <b>definitive crowns</b> placed in this phase (not Phase 1).</li></ul>	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
<b>Mmm6 tx plan phase</b> — list the key points for: <i>Phase 3 – Maintenance and recall</i>	<ul><li>Set recall based on combined caries and periodontal risk after Phase 2</li><li>High risk: 3‑month recalls.</li><li>Moderate risk: 6‑month recalls.</li><li>Low risk: 12‑month recalls.</li><li>Periodontal maintenance: scaling/polishing, reinforcement of oral hygiene.</li><li>Caries recall: monitor previous restorations, apply fluoride as indicated, reinforce diet counselling.</li><li>Prosthodontic maintenance</li></ul>	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
<b>Mmm6 tx plan phase</b> — list the key points for: <i>How to present this in an OSCE / SJ station</i>	<ul><li>“This 46‑year‑old patient presents with pain from root stumps in 46 and multiple carious and missing teeth, with significant financial limitations. My treatment plan will be phased as follows.”</li><li>Phase 0 – Emergency care and financial planning</li><li>Phase 1 – Disease control</li><li>Phase 2 – Rehabilitation / prosthetic rehabilitation</li><li>Phase 3 – Maintenance and recall</li><li>Say: “Because of limited finances, we will use phased treatment, prioritise disease control, and favour RPDs and limited FPDs over implants.”</li></ul>	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
<b>Mmm6 tx plan phase</b> — for each <i>Option</i>, give the corresponding <i>Comments for low‑budget patient</i>.	<ul><li><b>Removable partial dentures (RPD)</b> → Most affordable; suitable for multiple missing teeth; can be metal or acrylic.</li><li><b>Fixed partial dentures (bridges)</b> → More expensive than RPD, cheaper than implants; suitable where abutments are sound.</li><li><b>Implants</b> → Best longevity but highest cost; <b>generally not recommended</b> here unless finances improve.</li></ul>	NDECC_SJ::Mmm6_tx_plan_phase NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>mmm6 crown delivery amalgam overhang</b>	This is an <b>open (role-play) station</b> on the NDECC Situational Judgement (SJ) component, which assesses professional ethics, patient communication, and conflict management in real clinical scenarios. The core scenario: a 22-year-old patient was told by a colleague they would receive a crown, but today's examination reveals a <b>defective amalgam restoration</b> (open margin + distal overhang) on the tooth in question — meaning a crown cannot be placed today.	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — would the following be appropriate, or a critical error?<br><br><i>“Agreeing to place the crown to accommodate insurance”</i>	<b>Critical error / Avoid this.</b><br><br>Agreeing to place the crown to accommodate insurance	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — would the following be appropriate, or a critical error?<br><br><i>“Documenting the crown as completed before it is done (<b>insurance fraud</b>)”</i>	<b>Critical error / Avoid this.</b><br><br>Documenting the crown as completed before it is done (<b>insurance fraud</b>)	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — would the following be appropriate, or a critical error?<br><br><i>“Saying anything negative or dismissive about the other dentist”</i>	<b>Critical error / Avoid this.</b><br><br>Saying anything negative or dismissive about the other dentist	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — list the step-by-step approach / framework (in order).	<ol><li><b>Acknowledge the patient's expectation</b> — "I understand you're here today for crown work."</li><li><b>Present objective clinical findings</b> — describe findings in plain patient language (no jargon); do not reference the colleague's judgment</li><li><b>Explain the necessary sequence</b> — restoration must be corrected <i>before</i> crowning can proceed</li><li><b>Invite questions</b> — don't rush; let the examiner feel you are thinking in the moment, not reciting a rehearsed script</li></ol>	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — list the key points for: <i>Key Clinical Findings to Communicate</i>	<ul><li><b>Open margin</b> on the mesial — cannot simply be corrected; the entire restoration must be <b>replaced</b></li><li><b>Marginal overhang</b> on the distal proximal — could potentially be addressed via polishing/refinement, but in context the whole filling needs redoing</li><li>A crown placed over a defective restoration would be clinically <b>inadequate and inappropriate</b></li></ul>	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — list the key points for: <i>Managing the Colleague Comment</i>	<ul><li><b>Never</b> say the other dentist made an error or gave a wrong diagnosis</li><li><b>Never</b> defend the colleague either ("I'm sure they said the right thing")</li><li>Use this exact pivot</li><li><i>"Thank you for sharing what you understood from that appointment. I was not present, so I cannot comment on the discussion you had with Dr. X."</i></li><li><b>Immediately flip</b> → <i>"What I can speak to is today's findings: the restoration shows an open margin, which means…"</i></li><li>This protects <b>professionalism toward both patient and colleague</b></li></ul>	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — list the key points for: <i>Informed Consent Note</i>	<ul><li><i>"I'll go ahead and begin replacing the restoration today. Are you okay to proceed?"</i></li><li>That surfaces consent without turning the station into a consent lecture</li></ul>	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — list the key points for: <i>Rubric Checklist for Self-Assessment</i>	<ul><li>[ ] Opened by acknowledging the patient's expectation (NDEID/greeting)</li><li>[ ] Presented objective clinical findings in lay language</li><li>[ ] Explained why crown cannot proceed today (clinical rationale)</li><li>[ ] Empathized with insurance expiry concern</li><li>[ ] Maintained professional neutrality about colleague — no positive or negative comment</li><li>[ ] Declined insurance fraud clearly but compassionately</li><li>[ ] Offered realistic scheduling effort ("I'll try; no promises")</li></ul>	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
<b>mmm6 crown delivery amalgam overhang</b> — give details for Principle: <i><b>Veracity</b></i>	<b>What to Do:</b> Truthfully explain why crowning today is inappropriate<br><b>What NOT to Do:</b> Do not agree to crown just because of insurance	NDECC_SJ::mmm6_crown_delivery_amalgam_overhang NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b>	A 54-year-old patient presents with an <b>aesthetic concern</b> about two maxillary anterior teeth: confidentist - <b>Tooth 11 (UR1):</b> Ceramic crown (done ~7–9 years ago, for aesthetics only — no prior root canal treatment) - <b>Tooth 21 (UL1):</b> Composite veneer (done at the same time, also for aesthetics) - <b>Chief complaint:</b> Darkening/discolouration of both restorations — no pain, no sensitivity, no discomfort - <b>Radiographic finding:</b> Periapical radiolucency at the apex of <b>Tooth 11</b> (the crowned tooth)	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
<b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b> — would the following be appropriate, or a critical error?<br><br><i>“<b>Offering only one treatment option</b> — This becomes a <i>recommendation</i>, not an <i>option</i>. The patient cannot exercise autonomy. This is listed as a <b>critical error</b> on the rubric. scribd”</i>	<b>Critical error / Avoid this.</b><br><br><b>Offering only one treatment option</b> — This becomes a <i>recommendation</i>, not an <i>option</i>. The patient cannot exercise autonomy. This is listed as a <b>critical error</b> on the rubric. scribd	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
<b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b> — list the key points for: <i>Opening (NDB ID + Greeting)</i>	<ul><li>State your NDB ID → greet patient → pick up the conversation naturally</li><li>Do <b>not</b> ask "How can I help you today?" — the appointment context is already established</li><li>Example opener: <i>"Thank you for your patience — I now have your examination findings and X-ray ready. Let's go through everything together."</i> scribd</li></ul>	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
<b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b> — list the key points for: <i>History-Taking Checkpoint</i>	<ul><li>When were the crown and veneer placed? (~7–9 years ago)</li><li>Was tooth 11 root canal treated before the crown? (No — confirmed: crown placed for aesthetics only)</li><li>Any pain, sensitivity, discomfort, or functional issues?</li><li>Any other concerns besides colour/appearance?</li><li>Confirm aesthetics is the <b>sole</b> chief complaint</li></ul>	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
<b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b> — list the key points for: <i>Transitioning to the Radiographic Finding</i>	<ul><li>There is a dark shadow at the tip of the root of Tooth 11 (the crowned tooth)</li><li>This suggests that the bone around the root tip may be dissolving</li><li>The most likely cause is an infection that has tracked from inside the tooth down through the root canal to the tip of the root</li><li>Confirm this is the <b>most likely</b> explanation — clinical testing (percussion, palpation, vitality testing) will confirm</li><li>Infection does not resolve on its own; it must be treated before aesthetic work is considered</li><li>Use contrast on the radiograph to show the patient normal vs. affected area</li></ul>	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
<b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b> — list the key points for: <i>Closing the Station</i>	<ul><li><i>"Do you have any concerns I can address?"</i></li><li><i>"Does any part of this need more explanation?"</i></li><li><i>"Is there anything specific you'd like to think about before your next visit?"</i></li></ul>	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
<b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b> — list the key points for: <i>The 3 Non-Negotiables (Rubric Anchors)</i>	<ul><li><b>Options = Plural</b> — Always minimum two per problem scribd</li><li><b>Best → Worst order</b> — Most recommended presented first scribd</li><li><b>Advantages + Disadvantages</b> — At least two each, for every option presented mudrsoc</li></ul>	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
<b>mmm6 Darkened Anterior Restorations + Periapical Radiolucency</b> — for each <i></i>, give the corresponding <i></i>.	<ul><li><b><b>Advantages</b></b> → Preserves the existing crown (saves cost and time); Crown retains its current aesthetic fit; Less financially and physically demanding for the patient; Crown investment from 7–9 years ago is maintained</li><li><b><b>Disadvantages</b></b> → Any hidden decay under the crown may be missed; Technically challenging (access through porcelain can be difficult or damage the crown); Risk that access opening may still necessitate crown removal; Treatment failure if underlying cause is not fully addressed</li></ul>	NDECC_SJ::mmm6_Darkened_Anterior_Restorations_Periapical_Radiolucency NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>mmm6 Dabigatran POI</b>	<b>Case:</b> 33-year-old patient with atrial fibrillation, on <b>Dabigatran (DOAC)</b> + multivitamins; social history of <b>smoking</b> and <b>alcoholism</b>. Two simple extractions completed uneventfully under local anesthesia. Write post-operative instructions.  <b>The CRUX:</b> Your answer must weave in the patient's <i>medical history</i> (Dabigatran) and <i>social history</i> (smoking + alcohol) into standard post-op instructions, without making critical errors.	NDECC_SJ::mmm6_Dabigatran_POI NDECC_SJ
<b>mmm6 Dabigatran POI</b> — would the following be appropriate, or a critical error?<br><br><i>“<b>Telling the patient to stop, skip, or resume Dabigatran</b> — this is a critical error. Simple extractions (≤3 teeth) fall under <b>low bleeding-risk procedures</b>; no changes to DOAC are required pmc.ncbi.nlm.nih”</i>	<b>Critical error / Avoid this.</b><br><br><b>Telling the patient to stop, skip, or resume Dabigatran</b> — this is a critical error. Simple extractions (≤3 teeth) fall under <b>low bleeding-risk procedures</b>; no changes to DOAC are required pmc.ncbi.nlm.nih	NDECC_SJ::mmm6_Dabigatran_POI NDECC_SJ
<b>mmm6 Dabigatran POI</b> — would the following be appropriate, or a critical error?<br><br><i>“<b>Calling NSAIDs "contraindicated"</b> — the correct language is <i>avoid</i> or <i>not preferred</i>. NSAIDs are <b>discouraged</b>, not absolutely contraindicated, with Dabigatran pmc.ncbi.nlm.nih”</i>	<b>Critical error / Avoid this.</b><br><br><b>Calling NSAIDs "contraindicated"</b> — the correct language is <i>avoid</i> or <i>not preferred</i>. NSAIDs are <b>discouraged</b>, not absolutely contraindicated, with Dabigatran pmc.ncbi.nlm.nih	NDECC_SJ::mmm6_Dabigatran_POI NDECC_SJ
<b>mmm6 Dabigatran POI</b> — would the following be appropriate, or a critical error?<br><br><i>“<b>Omitting smoking/alcohol advice</b> — these are specifically flagged in the case for a reason (dry socket risk)”</i>	<b>Critical error / Avoid this.</b><br><br><b>Omitting smoking/alcohol advice</b> — these are specifically flagged in the case for a reason (dry socket risk)	NDECC_SJ::mmm6_Dabigatran_POI NDECC_SJ
<b>mmm6 Dabigatran POI</b> — list the key points for: <i>1. Medications</i>	<ul><li><b>Continue Dabigatran as prescribed</b> — no stopping, skipping, or dose reduction needed for simple extractions pmc.ncbi.nlm.nih</li><li>For pain: <b>Acetaminophen (Tylenol/Paracetamol)</b> is the first-line OTC analgesic</li><li><b>Avoid NSAIDs</b> (e.g., ibuprofen, diclofenac, aspirin) — these increase bleeding risk in patients on Dabigatran pmc.ncbi.nlm.nih</li><li>If NSAIDs become necessary, minimize duration and add <b>gastroprotection</b> (e.g., omeprazole/pantoprazole)</li><li>Do <b>not</b> say "contraindicated" — it is <i>discouraged/not preferred</i></li></ul>	NDECC_SJ::mmm6_Dabigatran_POI NDECC_SJ
